CMDLINE D:\anaconda3\envs\pytorch\python.exe .\main.py
MEM 1.656250 1711776292.0894
MEM 21.515625 1711776292.2024
MEM 31.929688 1711776292.3110
MEM 41.531250 1711776292.4202
MEM 50.457031 1711776292.5286
MEM 60.367188 1711776292.6369
MEM 65.652344 1711776292.7466
MEM 72.609375 1711776292.8555
MEM 80.527344 1711776292.9640
MEM 85.476562 1711776293.0704
MEM 92.445312 1711776293.1806
MEM 99.722656 1711776293.2873
MEM 105.992188 1711776293.3970
MEM 110.773438 1711776293.5084
MEM 117.375000 1711776293.6167
MEM 122.101562 1711776293.7246
MEM 125.367188 1711776293.8325
MEM 131.140625 1711776293.9422
MEM 136.750000 1711776294.0517
MEM 145.195312 1711776294.1612
MEM 147.156250 1711776294.2708
MEM 147.164062 1711776294.3790
MEM 152.398438 1711776294.4882
MEM 163.957031 1711776294.5958
MEM 165.144531 1711776294.7048
MEM 165.253906 1711776294.8135
MEM 165.773438 1711776294.9238
MEM 166.000000 1711776295.0333
MEM 166.421875 1711776295.1425
MEM 175.468750 1711776295.2522
MEM 166.101562 1711776295.3619
MEM 169.488281 1711776295.4708
MEM 171.191406 1711776295.5820
MEM 171.269531 1711776295.6912
MEM 171.320312 1711776295.8024
MEM 171.339844 1711776295.9136
MEM 171.343750 1711776296.0245
MEM 171.437500 1711776296.1348
MEM 166.058594 1711776296.2456
MEM 167.792969 1711776296.3549
MEM 171.683594 1711776296.4653
MEM 172.851562 1711776296.5748
MEM 172.898438 1711776296.6841
MEM 172.980469 1711776296.7937
MEM 173.097656 1711776296.8994
MEM 173.257812 1711776297.0084
MEM 173.269531 1711776297.1185
MEM 173.496094 1711776297.2288
MEM 173.578125 1711776297.3395
MEM 168.554688 1711776297.4499
MEM 168.816406 1711776297.5593
MEM 172.453125 1711776297.6683
MEM 174.164062 1711776297.7780
MEM 174.375000 1711776297.8884
MEM 174.476562 1711776297.9970
MEM 174.632812 1711776298.1048
MEM 174.691406 1711776298.2136
MEM 174.875000 1711776298.3235
MEM 169.042969 1711776298.4337
MEM 169.363281 1711776298.5436
MEM 172.789062 1711776298.6534
MEM 173.542969 1711776298.7606
MEM 173.757812 1711776298.8698
MEM 173.816406 1711776298.9798
MEM 173.859375 1711776299.0883
MEM 173.867188 1711776299.1961
MEM 167.226562 1711776299.3044
MEM 167.230469 1711776299.4127
MEM 172.132812 1711776299.5224
MEM 173.945312 1711776299.6321
MEM 174.261719 1711776299.7423
MEM 174.613281 1711776299.8526
