timestamp,QUEUE_ID,CU,STATUS,QUEUE_TYPE,PLATFORM,CPU_USAGE,MEM_USAGE,LJOB,RJOB,SJOB,CJOB,FJOB,RESOURCE_TYPE,DISK_USAGE
1591268040000,36,16,2,0,1,32,17,0,0,1,0,0,1,20.0
1591268340000,36,16,2,0,1,3,18,0,0,0,0,0,1,20.0
1591268640000,36,16,2,0,1,5,18,0,0,0,0,0,1,20.0
1591268940000,36,16,2,0,1,2,18,0,0,0,0,0,1,20.0
1591269240000,36,16,2,0,1,15,19,0,0,2,0,0,1,20.0
1591269600000,36,16,2,0,1,29,21,0,0,5,0,0,1,20.0
1591269900000,36,16,2,0,1,4,20,0,0,5,0,0,1,20.0
1591270200000,36,16,2,0,1,3,20,0,0,5,0,0,1,20.0
1591270500000,36,16,2,0,1,17,21,0,0,5,0,0,1,20.0
1591270800000,36,16,2,0,1,9,21,0,0,5,0,0,1,20.0
1591271100000,36,16,2,0,1,2,21,0,0,5,0,0,1,20.0
1591271400000,36,16,2,0,1,4,21,0,0,5,0,0,1,20.0
1591271700000,36,16,2,0,1,9,21,0,0,5,0,0,1,20.0
1591272000000,36,16,2,0,1,6,21,0,0,5,0,0,1,20.0
1591272300000,36,16,2,0,1,5,22,0,0,5,0,0,1,20.0
1591272660000,36,16,2,0,1,6,22,0,0,5,0,0,1,20.0
1591272960000,36,16,2,0,1,2,22,0,0,5,0,0,1,20.0
1591273260000,36,16,2,0,1,2,22,0,0,5,0,0,1,20.0
1591273560000,36,16,2,0,1,3,22,0,0,5,0,0,1,20.0
1591273860000,36,16,2,0,1,3,22,0,0,5,0,0,1,20.0
1591274160000,36,16,2,0,1,4,22,0,0,5,0,0,1,20.0
1591274460000,36,16,2,0,1,2,23,0,0,5,0,0,1,20.0
1591274760000,36,16,2,0,1,5,23,0,0,5,0,0,1,20.0
1591275060000,36,16,2,0,1,2,23,0,0,5,0,0,1,20.0
1591275360000,36,16,2,0,1,2,23,0,0,5,0,0,1,20.0
1591275660000,36,16,2,0,1,2,23,0,0,5,0,0,1,20.0
1591276020000,36,16,2,0,1,3,23,0,0,5,0,0,1,20.0
1591276320000,36,16,2,0,1,2,23,0,0,5,0,0,1,20.0
1591276620000,36,16,2,0,1,1,23,0,0,5,0,0,1,20.0
1591276920000,36,16,2,0,1,2,24,0,0,5,0,0,1,20.0
1591277220000,36,16,2,0,1,3,24,0,0,5,0,0,1,20.0
1591277520000,36,16,2,0,1,2,24,0,0,5,0,0,1,20.0
1591277820000,36,16,2,0,1,3,24,0,0,5,0,0,1,20.0
1591278120000,36,16,2,0,1,3,24,0,0,5,0,0,1,20.0
1591278420000,36,16,2,0,1,3,24,0,0,5,0,0,1,20.0
1591278720000,36,16,2,0,1,3,24,0,0,5,0,0,1,20.0
1591279020000,36,16,2,0,1,3,24,0,0,5,0,0,1,20.0
1591279320000,36,16,2,0,1,2,25,0,0,5,0,0,1,20.0
1591279680000,36,16,2,0,1,2,25,0,0,5,0,0,1,20.0
1591279980000,36,16,2,0,1,4,25,0,0,5,0,0,1,20.0
1591280280000,36,16,2,0,1,3,25,0,0,5,0,0,1,20.0
1591280580000,36,16,2,0,1,3,25,0,1,5,0,0,1,20.0
1591280880000,36,16,2,0,1,2,25,0,1,5,0,0,1,20.0
1591281180000,36,16,2,0,1,2,25,0,1,5,0,0,1,20.0
1591281480000,36,16,2,0,1,2,25,0,1,5,0,0,1,20.0
1591281780000,36,16,2,0,1,1,25,0,1,5,0,0,1,20.0
1591282080000,36,16,2,0,1,6,25,0,1,6,0,0,1,20.0
1591282380000,36,16,2,0,1,6,25,0,1,10,0,0,1,20.0
1591282680000,36,16,2,0,1,12,25,0,0,10,0,0,1,20.0
1591283040000,36,16,2,0,1,3,25,0,1,10,0,0,1,20.0
1591283340000,36,16,2,0,1,15,26,0,1,10,0,0,1,20.0
1591283640000,36,16,2,0,1,21,26,0,1,10,0,0,1,20.0
1591283940000,36,16,2,0,1,30,27,0,1,10,0,0,1,20.0
1591284240000,36,16,2,0,1,45,28,0,1,10,0,0,1,20.0
1591284540000,36,16,2,0,1,38,28,0,1,10,0,0,1,20.0
1591284840000,36,16,2,0,1,42,29,0,1,10,0,0,1,20.0
1591285140000,36,16,2,0,1,52,29,0,1,10,0,0,1,20.0
1591285440000,36,16,2,0,1,51,30,0,1,10,0,0,1,20.0
1591285740000,36,16,2,0,1,41,30,0,1,10,0,0,1,20.0
1591286040000,36,16,2,0,1,71,31,0,1,10,0,0,1,20.0
1591286400000,36,16,2,0,1,53,32,0,1,10,0,0,1,20.0
1591286700000,36,16,2,0,1,58,32,0,1,10,0,0,1,20.0
1591287000000,36,16,2,0,1,71,32,0,1,10,0,0,1,20.0
1591287300000,36,16,2,0,1,63,32,0,1,10,0,0,1,20.0
1591287600000,36,16,2,0,1,29,32,0,1,10,0,0,1,20.0
1591287900000,36,16,2,0,1,27,32,0,1,10,0,0,1,20.0
1591288200000,36,16,2,0,1,48,32,0,1,10,0,0,1,20.0
1591288500000,36,16,2,0,1,39,32,0,1,10,0,0,1,20.0
1591288800000,36,16,2,0,1,42,33,0,1,10,0,0,1,20.0
1591289100000,36,16,2,0,1,45,32,0,1,10,0,0,1,20.0
1591289400000,36,16,2,0,1,56,33,0,1,10,0,0,1,20.0
1591289760000,36,16,2,0,1,58,33,0,1,10,0,0,1,20.0
1591290060000,36,16,2,0,1,55,33,0,0,10,1,0,1,20.0
1591290360000,36,16,2,0,1,48,33,0,0,10,0,0,1,20.0
1591290660000,36,16,2,0,1,38,34,0,0,10,0,0,1,20.0
1591290960000,36,16,2,0,1,14,32,0,0,10,0,0,1,20.0
1591291260000,36,16,2,0,1,23,32,0,0,10,0,0,1,20.0
1591291560000,36,16,2,0,1,3,31,0,0,10,0,0,1,20.0
1591291860000,36,16,2,0,1,3,32,0,0,10,0,0,1,20.0
1591292160000,36,16,2,0,1,7,33,0,0,10,0,0,1,20.0
1591292460000,36,16,2,0,1,3,32,0,0,10,0,0,1,20.0
1591292760000,36,16,2,0,1,3,32,0,0,10,0,0,1,20.0
1591293060000,36,16,2,0,1,4,33,0,0,10,0,0,1,20.0
1591293420000,36,16,2,0,1,2,33,0,0,10,0,0,1,20.0
1591293720000,36,16,2,0,1,3,33,0,0,10,0,0,1,20.0
1591294020000,36,16,2,0,1,3,33,0,0,10,0,0,1,20.0
1591294320000,36,16,2,0,1,2,33,0,0,10,0,0,1,20.0
1591294620000,36,16,2,0,1,2,34,0,0,10,0,0,1,20.0
1591294920000,36,16,2,0,1,2,34,0,0,10,0,0,1,20.0
1591295220000,36,16,2,0,1,2,34,0,0,10,0,0,1,20.0
1591295520000,36,16,2,0,1,4,34,0,0,10,0,0,1,20.0
1591295820000,36,16,2,0,1,2,34,0,0,10,0,0,1,20.0
1591296120000,36,16,2,0,1,2,35,0,0,10,0,0,1,20.0
1591296420000,36,16,2,0,1,3,35,0,0,10,0,0,1,20.0
1591296720000,36,16,2,0,1,3,35,0,0,10,0,0,1,20.0
1591297080000,36,16,2,0,1,2,35,0,0,10,0,0,1,20.0
1591297380000,36,16,2,0,1,3,35,0,0,10,0,0,1,20.0
1591297680000,36,16,2,0,1,2,35,0,0,10,0,0,1,20.0
1591297980000,36,16,2,0,1,2,36,0,0,10,0,0,1,20.0
1591298280000,36,16,2,0,1,5,36,0,0,10,0,0,1,20.0
1591298580000,36,16,2,0,1,2,36,0,0,10,0,0,1,20.0
1591298880000,36,16,2,0,1,2,36,0,0,10,0,0,1,20.0
1591299180000,36,16,2,0,1,1,36,0,0,10,0,0,1,20.0
1591299480000,36,16,2,0,1,5,36,0,0,10,0,0,1,20.0
1591299780000,36,16,2,0,1,6,36,0,0,10,0,0,1,20.0
1591300080000,36,16,2,0,1,18,37,0,0,10,0,0,1,20.0
1591300440000,36,16,2,0,1,15,37,0,0,10,0,0,1,20.0
1591300740000,36,16,2,0,1,13,37,0,0,10,0,0,1,20.0
1591301040000,36,16,2,0,1,15,38,0,0,10,0,0,1,20.0
1591301340000,36,16,2,0,1,31,38,0,0,10,0,0,1,20.0
1591301640000,36,16,2,0,1,21,39,0,0,10,0,0,1,20.0
1591301940000,36,16,2,0,1,25,39,0,0,10,0,0,1,20.0
1591302240000,36,16,2,0,1,27,39,0,0,10,0,0,1,20.0
1591302540000,36,16,2,0,1,39,40,0,0,10,0,0,1,20.0
1591302840000,36,16,2,0,1,19,40,0,0,10,0,0,1,20.0
1591303140000,36,16,2,0,1,30,39,0,0,10,0,0,1,20.0
1591303440000,36,16,2,0,1,41,40,0,0,10,0,0,1,20.0
1591303740000,36,16,2,0,1,38,40,0,0,10,0,0,1,20.0
1591304040000,36,16,2,0,1,21,40,0,0,10,0,0,1,20.0
1591304400000,36,16,2,0,1,34,41,0,0,10,0,0,1,20.0
1591304700000,36,16,2,0,1,63,42,0,0,10,0,0,1,20.0
1591305000000,36,16,2,0,1,48,41,0,0,10,0,0,1,20.0
1591305300000,36,16,2,0,1,37,42,0,0,10,0,0,1,20.0
1591305600000,36,16,2,0,1,61,43,0,0,10,0,0,1,20.0
1591305900000,36,16,2,0,1,75,44,0,0,10,0,0,1,20.0
1591306200000,36,16,2,0,1,53,43,0,0,10,0,0,1,20.0
1591306500000,36,16,2,0,1,48,44,0,0,10,0,0,1,20.0
1591306800000,36,16,2,0,1,46,44,0,0,10,0,0,1,20.0
1591307100000,36,16,2,0,1,27,43,0,0,10,0,0,1,20.0
1591307400000,36,16,2,0,1,28,43,0,0,10,0,0,1,20.0
1591307760000,36,16,2,0,1,30,43,0,0,10,0,0,1,20.0
1591308060000,36,16,2,0,1,31,44,0,0,10,0,0,1,20.0
1591308360000,36,16,2,0,1,31,44,0,0,10,0,0,1,20.0
1591308660000,36,16,2,0,1,36,43,0,0,10,0,0,1,20.0
1591308960000,36,16,2,0,1,29,43,0,0,10,0,0,1,20.0
1591309260000,36,16,2,0,1,18,43,0,0,10,0,0,1,20.0
1591309560000,36,16,2,0,1,30,44,0,0,10,0,0,1,20.0
1591309860000,36,16,2,0,1,26,44,0,0,10,0,0,1,20.0
1591310160000,36,16,2,0,1,19,44,0,0,10,0,0,1,20.0
1591310460000,36,16,2,0,1,10,44,0,0,10,0,0,1,20.0
1591310760000,36,16,2,0,1,3,43,0,0,10,0,0,1,20.0
1591311120000,36,16,2,0,1,3,44,0,0,10,0,0,1,20.0
1591311420000,36,16,2,0,1,2,44,0,0,10,0,0,1,20.0
1591311720000,36,16,2,0,1,5,44,0,0,10,0,0,1,20.0
1591312020000,36,16,2,0,1,2,44,0,0,10,0,0,1,20.0
1591312320000,36,16,2,0,1,2,44,0,0,10,0,0,1,20.0
1591312620000,36,16,2,0,1,3,45,0,0,10,0,0,1,20.0
1591312920000,36,16,2,0,1,2,45,0,0,10,0,0,1,20.0
