time,value,metric
2024-02-03 10:32:31,2.0,{'instance': '10.0.76.98:8080'}
2024-02-03 10:33:31,4.067,{'instance': '10.0.76.98:8080'}
2024-02-03 10:34:31,6.0,{'instance': '10.0.76.98:8080'}
2024-02-03 10:35:31,8.0,{'instance': '10.0.76.98:8080'}
2024-02-03 10:36:31,10.067,{'instance': '10.0.76.98:8080'}
2024-02-03 10:37:31,11.933,{'instance': '10.0.76.98:8080'}
2024-02-03 10:38:31,13.933,{'instance': '10.0.76.98:8080'}
2024-02-03 10:39:31,16.0,{'instance': '10.0.76.98:8080'}
2024-02-03 10:40:31,18.0,{'instance': '10.0.76.98:8080'}
2024-02-03 10:41:31,20.2,{'instance': '10.0.76.98:8080'}
2024-02-03 10:42:31,21.933,{'instance': '10.0.76.98:8080'}
2024-02-03 10:43:31,24.067,{'instance': '10.0.76.98:8080'}
2024-02-03 10:44:31,25.933,{'instance': '10.0.76.98:8080'}
2024-02-03 10:45:31,28.067,{'instance': '10.0.76.98:8080'}
2024-02-03 10:46:31,29.867,{'instance': '10.0.76.98:8080'}
2024-02-03 10:47:31,31.667,{'instance': '10.0.76.98:8080'}
2024-02-03 10:48:31,33.8,{'instance': '10.0.76.98:8080'}
2024-02-03 10:49:31,36.267,{'instance': '10.0.76.98:8080'}
2024-02-03 10:50:31,37.6,{'instance': '10.0.76.98:8080'}
2024-02-03 10:51:31,40.667,{'instance': '10.0.76.98:8080'}
2024-02-03 10:52:31,42.4,{'instance': '10.0.76.98:8080'}
2024-02-03 10:53:31,44.267,{'instance': '10.0.76.98:8080'}
2024-02-03 10:54:31,46.4,{'instance': '10.0.76.98:8080'}
2024-02-03 10:55:31,48.533,{'instance': '10.0.76.98:8080'}
2024-02-03 10:56:31,51.0,{'instance': '10.0.76.98:8080'}
2024-02-03 10:57:31,51.067,{'instance': '10.0.76.98:8080'}
2024-02-03 10:58:31,53.867,{'instance': '10.0.76.98:8080'}
2024-02-03 10:59:31,56.867,{'instance': '10.0.76.98:8080'}
2024-02-03 11:00:31,56.933,{'instance': '10.0.76.98:8080'}
2024-02-03 11:01:31,60.4,{'instance': '10.0.76.98:8080'}
2024-02-03 11:02:31,56.867,{'instance': '10.0.76.98:8080'}
2024-02-03 11:03:31,57.0,{'instance': '10.0.76.98:8080'}
