time,value,metric
2024-02-03 10:32:31,76029952.0,{'container': 'ds-app'}
2024-02-03 10:33:31,76025856.0,{'container': 'ds-app'}
2024-02-03 10:34:31,34455552.0,{'container': 'ds-app'}
2024-02-03 10:35:31,43253760.0,{'container': 'ds-app'}
2024-02-03 10:36:31,44748800.0,{'container': 'ds-app'}
2024-02-03 10:37:31,45527040.0,{'container': 'ds-app'}
2024-02-03 10:38:31,56561664.0,{'container': 'ds-app'}
2024-02-03 10:39:31,66408448.0,{'container': 'ds-app'}
2024-02-03 10:40:31,68448256.0,{'container': 'ds-app'}
2024-02-03 10:41:31,68648960.0,{'container': 'ds-app'}
2024-02-03 10:42:31,68526080.0,{'container': 'ds-app'}
2024-02-03 10:43:31,68534272.0,{'container': 'ds-app'}
2024-02-03 10:44:31,68530176.0,{'container': 'ds-app'}
2024-02-03 10:45:31,69574656.0,{'container': 'ds-app'}
2024-02-03 10:46:31,69599232.0,{'container': 'ds-app'}
2024-02-03 10:47:31,70119424.0,{'container': 'ds-app'}
2024-02-03 10:48:31,70123520.0,{'container': 'ds-app'}
2024-02-03 10:49:31,70266880.0,{'container': 'ds-app'}
2024-02-03 10:50:31,70127616.0,{'container': 'ds-app'}
2024-02-03 10:51:31,70131712.0,{'container': 'ds-app'}
2024-02-03 10:52:31,113995776.0,{'container': 'ds-app'}
2024-02-03 10:53:31,176926720.0,{'container': 'ds-app'}
2024-02-03 10:54:31,207048704.0,{'container': 'ds-app'}
2024-02-03 10:55:31,235450368.0,{'container': 'ds-app'}
2024-02-03 10:56:31,245022720.0,{'container': 'ds-app'}
2024-02-03 10:57:31,171106304.0,{'container': 'ds-app'}
2024-02-03 10:58:31,211542016.0,{'container': 'ds-app'}
2024-02-03 10:59:31,200855552.0,{'container': 'ds-app'}
2024-02-03 11:00:31,238419968.0,{'container': 'ds-app'}
2024-02-03 11:01:31,271622144.0,{'container': 'ds-app'}
2024-02-03 11:02:31,395161600.0,{'container': 'ds-app'}
2024-02-03 11:03:31,447590400.0,{'container': 'ds-app'}
2024-02-03 11:04:31,498716672.0,{'container': 'ds-app'}
2024-02-03 11:05:31,350494720.0,{'container': 'ds-app'}
2024-02-03 11:06:31,373067776.0,{'container': 'ds-app'}
2024-02-03 11:07:31,376643584.0,{'container': 'ds-app'}
2024-02-03 11:08:31,275804160.0,{'container': 'ds-app'}
2024-02-03 11:09:31,286507008.0,{'container': 'ds-app'}
2024-02-03 11:10:31,276508672.0,{'container': 'ds-app'}
2024-02-03 11:11:31,285040640.0,{'container': 'ds-app'}
2024-02-03 11:12:31,285196288.0,{'container': 'ds-app'}
2024-02-03 11:13:31,155836416.0,{'container': 'ds-app'}
2024-02-03 11:14:31,154894336.0,{'container': 'ds-app'}
2024-02-03 11:15:31,163172352.0,{'container': 'ds-app'}
2024-02-03 11:16:31,165998592.0,{'container': 'ds-app'}
2024-02-03 11:17:31,166002688.0,{'container': 'ds-app'}
2024-02-03 11:18:31,166088704.0,{'container': 'ds-app'}
2024-02-03 11:19:31,166088704.0,{'container': 'ds-app'}
2024-02-03 11:20:31,165613568.0,{'container': 'ds-app'}
2024-02-03 11:21:31,164839424.0,{'container': 'ds-app'}
2024-02-03 11:22:31,159109120.0,{'container': 'ds-app'}
2024-02-03 11:23:31,152731648.0,{'container': 'ds-app'}
2024-02-03 11:24:31,144461824.0,{'container': 'ds-app'}
2024-02-03 11:25:31,137793536.0,{'container': 'ds-app'}
2024-02-03 11:26:31,131768320.0,{'container': 'ds-app'}
2024-02-03 11:27:31,125345792.0,{'container': 'ds-app'}
2024-02-03 11:28:31,119185408.0,{'container': 'ds-app'}
2024-02-03 11:29:31,112300032.0,{'container': 'ds-app'}
2024-02-03 11:30:31,112295936.0,{'container': 'ds-app'}
2024-02-03 11:31:31,99778560.0,{'container': 'ds-app'}
2024-02-03 11:32:31,94216192.0,{'container': 'ds-app'}
2024-02-03 11:33:31,90742784.0,{'container': 'ds-app'}
2024-02-03 11:34:31,90742784.0,{'container': 'ds-app'}
2024-02-03 11:35:31,91492352.0,{'container': 'ds-app'}
2024-02-03 11:36:31,98058240.0,{'container': 'ds-app'}
2024-02-03 11:37:31,101457920.0,{'container': 'ds-app'}
2024-02-03 11:38:31,110637056.0,{'container': 'ds-app'}
2024-02-03 11:39:31,113733632.0,{'container': 'ds-app'}
2024-02-03 11:40:31,119541760.0,{'container': 'ds-app'}
2024-02-03 11:41:31,125435904.0,{'container': 'ds-app'}
2024-02-03 11:42:31,133304320.0,{'container': 'ds-app'}
2024-02-03 11:43:31,136769536.0,{'container': 'ds-app'}
2024-02-03 11:44:31,138764288.0,{'container': 'ds-app'}
2024-02-03 11:45:31,149983232.0,{'container': 'ds-app'}
2024-02-03 11:46:31,151687168.0,{'container': 'ds-app'}
2024-02-03 11:47:31,161202176.0,{'container': 'ds-app'}
2024-02-03 11:48:31,162271232.0,{'container': 'ds-app'}
2024-02-03 11:49:31,162291712.0,{'container': 'ds-app'}
2024-02-03 11:50:31,162848768.0,{'container': 'ds-app'}
2024-02-03 11:51:31,162869248.0,{'container': 'ds-app'}
2024-02-03 11:52:31,163033088.0,{'container': 'ds-app'}
