time,value,metric
2024-02-03 10:32:31,1.0,{}
2024-02-03 10:33:31,1.0,{}
2024-02-03 10:34:31,1.0,{}
2024-02-03 10:35:31,1.0,{}
2024-02-03 10:36:31,1.0,{}
2024-02-03 10:37:31,1.0,{}
2024-02-03 10:38:31,1.0,{}
2024-02-03 10:39:31,1.0,{}
2024-02-03 10:40:31,1.0,{}
2024-02-03 10:41:31,1.0,{}
2024-02-03 10:42:31,1.0,{}
2024-02-03 10:43:31,1.0,{}
2024-02-03 10:44:31,1.0,{}
2024-02-03 10:45:31,1.0,{}
2024-02-03 10:46:31,1.0,{}
2024-02-03 10:47:31,1.0,{}
2024-02-03 10:48:31,1.0,{}
2024-02-03 10:49:31,1.0,{}
2024-02-03 10:50:31,1.0,{}
2024-02-03 10:51:31,1.0,{}
2024-02-03 10:52:31,0.9940231602540157,{}
2024-02-03 10:53:31,0.9943427914788296,{}
2024-02-03 10:54:31,0.9946173254835996,{}
2024-02-03 10:55:31,0.9948840927258193,{}
2024-02-03 10:56:31,0.9951200914982844,{}
2024-02-03 10:57:31,1.0,{}
2024-02-03 10:58:31,1.0,{}
2024-02-03 10:59:31,1.0,{}
2024-02-03 11:00:31,1.0,{}
2024-02-03 11:01:31,0.9903424614016139,{}
2024-02-03 11:02:31,0.9905485544848036,{}
2024-02-03 11:03:31,0.9895173086299366,{}
2024-02-03 11:04:31,0.9894530291881285,{}
2024-02-03 11:05:31,0.9892593980267266,{}
2024-02-03 11:06:31,0.9987115892546543,{}
2024-02-03 11:07:31,0.9990013980427401,{}
2024-02-03 11:08:31,0.9996541946192683,{}
2024-02-03 11:09:31,0.9996399769585254,{}
2024-02-03 11:10:31,0.999626559115692,{}
2024-02-03 11:11:31,0.9996092834258029,{}
2024-02-03 11:12:31,0.9995892549084038,{}
2024-02-03 11:13:31,1.0,{}
2024-02-03 11:14:31,1.0,{}
2024-02-03 11:15:31,1.0,{}
2024-02-03 11:16:31,1.0,{}
2024-02-03 11:17:31,1.0,{}
2024-02-03 11:18:31,1.0,{}
2024-02-03 11:19:31,1.0,{}
2024-02-03 11:20:31,1.0,{}
2024-02-03 11:21:31,1.0,{}
2024-02-03 11:22:31,1.0,{}
2024-02-03 11:23:31,1.0,{}
2024-02-03 11:24:31,1.0,{}
2024-02-03 11:25:31,1.0,{}
2024-02-03 11:26:31,1.0,{}
2024-02-03 11:27:31,1.0,{}
2024-02-03 11:28:31,1.0,{}
2024-02-03 11:29:31,1.0,{}
2024-02-03 11:30:31,1.0,{}
2024-02-03 11:31:31,1.0,{}
2024-02-03 11:32:31,1.0,{}
2024-02-03 11:33:31,1.0,{}
2024-02-03 11:34:31,1.0,{}
2024-02-03 11:35:31,1.0,{}
2024-02-03 11:36:31,1.0,{}
2024-02-03 11:37:31,1.0,{}
2024-02-03 11:38:31,1.0,{}
2024-02-03 11:39:31,1.0,{}
2024-02-03 11:40:31,1.0,{}
2024-02-03 11:41:31,1.0,{}
2024-02-03 11:42:31,1.0,{}
2024-02-03 11:43:31,1.0,{}
2024-02-03 11:44:31,1.0,{}
2024-02-03 11:45:31,1.0,{}
2024-02-03 11:46:31,1.0,{}
2024-02-03 11:47:31,1.0,{}
2024-02-03 11:48:31,1.0,{}
2024-02-03 11:49:31,1.0,{}
2024-02-03 11:50:31,1.0,{}
2024-02-03 11:51:31,1.0,{}
2024-02-03 11:52:31,1.0,{}
2024-02-03 11:53:31,1.0,{}
2024-02-03 11:54:31,1.0,{}
2024-02-03 11:55:31,1.0,{}
2024-02-03 11:56:31,1.0,{}
2024-02-03 11:57:31,0.9959745297518847,{}
2024-02-03 11:58:31,0.9961248502783062,{}
2024-02-03 11:59:31,0.9929648921057972,{}
2024-02-03 12:00:31,0.9931923807030176,{}
2024-02-03 12:01:31,0.9934218848829854,{}
2024-02-03 12:02:31,0.9953709418590297,{}
2024-02-03 12:03:31,0.9954240390482001,{}
2024-02-03 12:04:31,0.998406081412457,{}
2024-02-03 12:05:31,0.998375812093953,{}
2024-02-03 12:06:31,0.9983197621817241,{}
2024-02-03 12:07:31,1.0,{}
