time,value,metric
2024-02-26 14:25:24,48.89453125,{}
2024-02-26 14:26:24,48.897135416666664,{}
2024-02-26 14:27:24,44.598958333333336,{}
2024-02-26 14:28:24,53.099609375,{}
2024-02-26 14:29:24,48.482421875,{}
2024-02-26 14:30:24,48.482421875,{}
2024-02-26 14:31:24,41.263671875,{}
2024-02-26 14:32:24,41.263671875,{}
2024-02-26 14:33:24,39.169921875,{}
2024-02-26 14:34:24,39.169921875,{}
2024-02-26 14:35:24,44.216796875,{}
2024-02-26 14:36:24,45.94140624999999,{}
2024-02-26 14:37:24,54.119140625,{}
2024-02-26 14:38:24,54.142578125,{}
2024-02-26 14:39:24,63.2578125,{}
2024-02-26 14:40:24,63.267578125,{}
2024-02-26 14:41:24,69.6328125,{}
2024-02-26 14:42:24,69.658203125,{}
2024-02-26 14:43:24,69.677734375,{}
2024-02-26 14:44:24,69.69140625,{}
2024-02-26 14:45:24,69.69140625,{}
2024-02-26 14:46:24,69.919921875,{}
2024-02-26 14:47:24,69.919921875,{}
2024-02-26 14:48:24,69.921875,{}
2024-02-26 14:49:24,69.921875,{}
