time,value,metric
2024-02-26 14:25:24,1.0,{}
2024-02-26 14:26:24,1.0,{}
2024-02-26 14:27:24,1.0,{}
2024-02-26 14:28:24,1.0,{}
2024-02-26 14:29:24,1.0,{}
2024-02-26 14:30:24,1.0,{}
2024-02-26 14:31:24,1.0,{}
2024-02-26 14:32:24,1.0,{}
2024-02-26 14:33:24,1.0,{}
2024-02-26 14:34:24,1.0,{}
2024-02-26 14:35:24,1.0,{}
2024-02-26 14:36:24,1.0,{}
2024-02-26 14:37:24,1.0,{}
2024-02-26 14:38:24,1.0,{}
2024-02-26 14:39:24,1.0,{}
2024-02-26 14:40:24,1.0,{}
2024-02-26 14:41:24,1.0,{}
2024-02-26 14:42:24,1.0,{}
2024-02-26 14:43:24,1.0,{}
2024-02-26 14:44:24,1.0,{}
2024-02-26 14:45:24,1.0,{}
2024-02-26 14:46:24,1.0,{}
2024-02-26 14:47:24,1.0,{}
2024-02-26 14:48:24,1.0,{}
2024-02-26 14:49:24,1.0,{}
