time,CPU_AVG_USAGE,MEM_AVG_USAGE,CPU_TOTAL_USAGE,MEM_TOTAL_USAGE,POD_COUNT,expected_CPU_AVG_USAGE,expected_MEM_AVG_USAGE
2024-02-19 14:24:24,19.75,66.62,59.24,199.88,3.0,60.0,70.0
2024-02-19 14:25:24,16.93,66.62,50.8,199.88,3.0,60.0,70.0
2024-02-19 14:26:24,14.5,62.07,43.49,186.2,3.0,60.0,70.0
2024-02-19 14:27:24,11.67,58.55,35.01,175.64,3.0,60.0,70.0
2024-02-19 14:28:24,9.3,56.13,27.91,168.39,3.0,60.0,70.0
2024-02-19 14:29:24,5.87,53.99,17.6,161.96,3.0,60.0,70.0
2024-02-19 14:30:24,3.95,49.43,11.86,148.28,3.0,60.0,70.0
2024-02-19 14:31:24,1.15,44.66,3.45,133.97,3.0,60.0,70.0
2024-02-19 14:32:24,2.85,54.91,5.7,109.82,2.0,60.0,70.0
2024-02-19 14:33:24,7.5,54.91,15.0,109.82,2.0,60.0,70.0
2024-02-19 14:34:24,11.44,54.91,22.88,109.82,2.0,60.0,70.0
2024-02-19 14:35:24,16.23,59.06,32.46,118.11,2.0,60.0,70.0
2024-02-19 14:36:24,19.66,62.92,39.32,125.84,2.0,60.0,70.0
2024-02-19 14:37:24,24.7,70.02,49.39,140.04,2.0,60.0,70.0
2024-02-19 14:38:24,27.41,72.67,54.82,145.34,2.0,60.0,70.0
2024-02-19 14:39:24,30.55,75.56,61.1,151.13,2.0,60.0,70.0
2024-02-19 14:40:24,27.32,57.4,81.97,172.2,3.0,60.0,70.0
2024-02-19 14:41:24,25.27,60.13,75.82,180.39,3.0,60.0,70.0
2024-02-19 14:42:24,28.12,61.51,84.35,184.52,3.0,60.0,70.0
2024-02-19 14:43:24,29.91,61.53,89.73,184.6,3.0,60.0,70.0
2024-02-19 14:44:24,32.8,62.04,98.4,186.11,3.0,60.0,70.0
2024-02-19 14:45:24,34.4,62.33,103.19,186.98,3.0,60.0,70.0
2024-02-19 14:46:24,39.06,65.07,117.18,195.21,3.0,60.0,70.0
2024-02-19 14:47:24,40.5,64.95,121.51,194.85,3.0,60.0,70.0
2024-02-19 14:48:24,42.27,66.13,126.82,198.39,3.0,60.0,70.0
2024-02-19 14:49:24,44.9,66.53,134.69,199.6,3.0,60.0,70.0
2024-02-19 14:50:24,47.25,66.7,141.76,200.09,3.0,60.0,70.0
2024-02-19 14:51:24,47.17,66.71,141.52,200.13,3.0,60.0,70.0
2024-02-19 14:52:24,49.26,66.87,147.77,200.62,3.0,60.0,70.0
2024-02-19 14:53:24,52.82,66.88,158.45,200.63,3.0,60.0,70.0
2024-02-19 14:54:24,52.89,67.01,158.67,201.04,3.0,60.0,70.0
2024-02-19 14:55:24,56.01,69.91,168.04,209.73,3.0,60.0,70.0
2024-02-19 14:56:24,56.71,70.62,170.13,211.86,3.0,60.0,70.0
2024-02-19 14:57:24,60.22,70.54,180.65,211.61,3.0,60.0,70.0
2024-02-19 14:58:24,59.83,70.55,179.49,211.65,3.0,60.0,70.0
2024-02-19 14:59:24,64.03,69.16,192.08,207.48,3.0,60.0,70.0
2024-02-19 15:00:24,66.06,63.94,198.17,191.82,3.0,60.0,70.0
2024-02-19 15:01:24,66.09,63.96,198.26,191.88,3.0,60.0,70.0
2024-02-19 15:02:24,66.06,62.91,198.18,188.73,3.0,60.0,70.0
2024-02-19 15:03:24,66.43,62.91,199.29,188.73,3.0,60.0,70.0
2024-02-19 15:04:24,64.27,62.91,192.82,188.73,3.0,60.0,70.0
2024-02-19 15:05:24,61.99,62.91,185.97,188.73,3.0,60.0,70.0
2024-02-19 15:06:24,59.13,62.91,177.39,188.73,3.0,60.0,70.0
2024-02-19 15:07:24,55.92,62.91,167.76,188.73,3.0,60.0,70.0
2024-02-19 15:08:24,55.37,62.91,166.1,188.74,3.0,60.0,70.0
2024-02-19 15:09:24,53.42,62.91,160.27,188.74,3.0,60.0,70.0
2024-02-19 15:10:24,51.69,62.91,155.07,188.74,3.0,60.0,70.0
2024-02-19 15:11:24,47.84,62.91,143.52,188.74,3.0,60.0,70.0
2024-02-19 15:12:24,47.45,62.92,142.36,188.75,3.0,60.0,70.0
2024-02-19 15:13:24,46.8,62.92,140.39,188.75,3.0,60.0,70.0
2024-02-19 15:14:24,43.57,62.92,130.7,188.75,3.0,60.0,70.0
2024-02-19 15:15:24,42.12,62.92,126.36,188.75,3.0,60.0,70.0
2024-02-19 15:16:24,39.84,62.92,119.51,188.75,3.0,60.0,70.0
2024-02-19 15:17:24,36.45,62.92,109.35,188.75,3.0,60.0,70.0
2024-02-19 15:18:24,35.4,62.92,106.19,188.75,3.0,60.0,70.0
2024-02-19 15:19:24,32.03,62.92,96.1,188.75,3.0,60.0,70.0
2024-02-19 15:20:24,30.56,62.92,91.69,188.75,3.0,60.0,70.0
2024-02-19 15:21:24,27.86,62.92,83.57,188.75,3.0,60.0,70.0
2024-02-19 15:22:24,26.14,62.79,78.43,188.37,3.0,60.0,70.0
