day,time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
28,2419200,,0.002,,,,,0.003,,,,0.869,0.081,0.65,,0.277,0.031,,,,,,,,,,0.067,,0.315,0.323,,,0.009,0.004,0.132,0.01,,,,0.133,0.059,0.076,,0.004,0.003,0.001,,,,,0.006,,,,0.008,0.004,,0.003,0.003,,,0.073,,,,,0.251,0.225,0.487,,,,0.009,0.052,,,0.098,,0.005,0.004,,,0.006,,,,,0.024,0.015,0.172,0.121,0.001,0.005,0.129,0.016,0.153,0.001,0.062,0.022,,,0.003,,0.005,0.005,0.063,0.001,,0.028,,,,,,,,0.006,0.144,,0.006,,,,,0.026,0.005,,0.008,0.012,0.005,0.043,0.303,0.021,0.038,0.006,0.024,0.012,0.017,,,,,,,,,,0.069,0.064,0.002,0.001,0.19,0.001,,,,0.002,0.001,0.004,,,0.028,0.029,,0.014,0.311,0.185,0.003,0.002,0.001,0.001,0.027,0.003,0.007,0.001,0.004,,,,0.001,0.009,,,,0.018,,,,,,,0.007,,,,0.128,0.051,,,,0.001
28,2419260,,0.003,,,,,0.004,,,,0.999,0.098,0.999,,0.135,0.054,,,,,,,,,,0.044,,0.218,0.367,,,0.006,0.006,0.15,0.029,,,,0.162,0.101,0.064,,0.003,0.003,0.001,,,,,0.005,,,,0.005,0.005,,0.003,0.005,,,0.041,,,,,0.365,0.242,0.132,,,,0.005,0.043,,,0.107,,0.005,0.005,,,0.006,,,,,0.036,0.028,0.174,0.123,0.002,0.005,0.134,0.022,0.163,0.002,0.051,0.037,,,0.005,,0.005,0.005,0.073,0.069,,0.017,,,,,,,,0.005,0.182,,0.004,,,,,0.251,0.005,,0.007,0.014,0.006,0.014,0.369,0.031,0.038,0.007,0.065,0.015,0.014,,,,,,,,,,0.047,0.074,0.001,0.001,0.212,0.001,,,,0.001,0.001,0.005,,,0.03,0.032,,0.019,0.239,0.239,0.003,0.003,0.001,0.001,0.024,0.002,0.002,0.001,0.002,,,,0.001,0.012,,,,0.019,,,,,,,0.006,,,,0.177,0.057,,,,0.001
28,2419320,,0.003,,,,,0.005,,,,0.999,0.134,0.866,,0.286,0.079,,,,,,,,,,0.035,,0.192,0.33,,,0.006,0.005,0.138,0.012,,,,0.018,0.067,0.059,,0.004,0.003,0.001,,,,,0.006,,,,0.004,0.004,,0.003,0.004,,,0.038,,,,,0.331,0.26,0.125,,,,0.006,0.023,,,0.097,,0.005,0.004,,,0.006,,,,,0.031,0.015,0.187,0.103,0.001,0.005,0.194,0.02,0.21,0.001,0.041,0.021,,,0.003,,0.006,0.005,0.024,0.048,,0.05,,,,,,,,0.005,0.259,,0.006,,,,,0.423,0.006,,0.006,0.014,0.005,0.01,0.476,0.022,0.037,0.009,0.035,0.011,0.017,,,,,,,,,,0.011,0.045,0.001,0.001,0.214,0.001,,,,0.001,0.001,0.006,,,0.027,0.028,,0.016,0.316,0.219,0.002,0.003,0.002,0.001,0.027,0.002,0.001,0.002,0.004,,,,0.001,0.012,,,,0.004,,,,,,,0.01,,,,0.073,0.04,,,,0.002
28,2419380,,0.003,,,,,0.002,,,,0.706,0.076,0.868,,0.145,0.081,,,,,,,,,,0.045,,0.182,0.337,,,0.008,0.004,0.13,0.025,,,,0.004,0.076,0.068,,0.003,0.003,0.001,,,,,0.006,,,,0.006,0.005,,0.003,0.003,,,0.026,,,,,0.257,0.226,0.162,,,,0.005,0.021,,,0.088,,0.005,0.004,,,0.006,,,,,0.02,0.013,0.173,0.086,0.001,0.007,0.122,0.018,0.241,0.001,0.027,0.037,,,0.003,,0.007,0.004,0.072,0.032,,0.028,,,,,,,,0.005,0.244,,0.004,,,,,0.08,0.004,,0.012,0.015,0.005,0.012,0.292,0.025,0.033,0.005,0.033,0.011,0.015,,,,,,,,,,0.005,0.043,0.001,0.001,0.205,0.001,,,,0.001,0.001,0.005,,,0.027,0.026,,0.015,0.265,0.206,0.003,0.002,0.001,0.001,0.024,0.002,0.005,0.001,0.004,,,,0.001,0.007,,,,0.003,,,,,,,0.006,,,,0.081,0.05,,,,0.001
28,2419440,,0.003,,,,,0.005,,,,0.688,0.066,0.765,,0.189,0.065,,,,,,,,,,0.035,,0.184,0.358,,,0.006,0.004,0.138,0.011,,,,0.004,0.103,0.073,,0.004,0.003,0.001,,,,,0.007,,,,0.008,0.004,,0.003,0.005,,,0.021,,,,,0.314,0.285,0.175,,,,0.006,0.018,,,0.085,,0.006,0.005,,,0.005,,,,,0.035,0.016,0.206,0.13,0.001,0.004,0.15,0.019,0.149,0.002,0.087,0.02,,,0.001,,0.006,0.007,0.073,0.074,,0.037,,,,,,,,0.005,0.188,,0.006,,,,,0.057,0.005,,0.008,0.013,0.005,0.012,0.324,0.023,0.041,0.011,0.032,0.01,0.014,,,,,,,,,,0.003,0.044,0.001,0.001,0.191,0.001,,,,0.001,0.001,0.004,,,0.028,0.027,,0.019,0.294,0.232,0.003,0.002,0.001,0.001,0.022,0.002,0.003,0.001,0.004,,,,0.001,0.013,,,,0.002,,,,,,,0.007,,,,0.07,0.058,,,,0.001
28,2419500,,0.002,,,,,0.004,,,,0.581,0.073,0.908,,0.588,0.04,,,,,,,,,,0.062,,0.183,0.261,,,0.006,0.004,0.122,0.018,,,,0.002,0.108,0.035,,0.003,0.003,0.001,,,,,0.005,,,,0.007,0.004,,0.003,0.004,,,0.018,,,,,0.314,0.208,0.184,,,,0.006,0.018,,,0.096,,0.005,0.005,,,0.007,,,,,0.026,0.025,0.194,0.127,0.001,0.007,0.131,0.019,0.156,0.002,0.035,0.031,,,0.003,,0.005,0.005,0.028,0.057,,0.04,,,,,,,,0.006,0.308,,0.005,,,,,0.23,0.005,,0.007,0.008,0.005,0.011,0.303,0.024,0.035,0.006,0.055,0.013,0.011,,,,,,,,,,0.009,0.041,0.001,0.001,0.171,0.001,,,,0.001,0.001,0.005,,,0.026,0.027,,0.011,0.311,0.224,0.002,0.003,0.002,0.001,0.03,0.002,0.005,0.001,0.002,,,,0.001,0.011,,,,0.002,,,,,,,0.008,,,,0.085,0.052,,,,0.001
28,2419560,,0.003,,,,,0.003,,,,0.999,0.103,0.785,,0.135,0.065,,,,,,,,,,0.048,,0.176,0.346,,,0.005,0.005,0.133,0.015,,,,0.002,0.082,0.071,,0.004,0.004,0.001,,,,,0.005,,,,0.007,0.004,,0.003,0.004,,,0.022,,,,,0.261,0.248,0.154,,,,0.006,0.018,,,0.096,,0.006,0.005,,,0.006,,,,,0.027,0.02,0.169,0.11,0.001,0.006,0.146,0.02,0.199,0.001,0.038,0.027,,,0.002,,0.006,0.004,0.059,0.004,,0.045,,,,,,,,0.005,0.194,,0.006,,,,,0.18,0.005,,0.007,0.014,0.004,0.01,0.343,0.023,0.034,0.003,0.045,0.014,0.018,,,,,,,,,,0.003,0.061,0.001,0.001,0.212,0.001,,,,0.001,0.001,0.003,,,0.026,0.028,,0.018,0.255,0.196,0.003,0.003,0.001,0.001,0.025,0.002,0.002,0.002,0.004,,,,0.001,0.011,,,,0.003,,,,,,,0.006,,,,0.075,0.037,,,,0.002
28,2419620,,0.003,,,,,0.004,,,,0.567,0.071,0.937,,0.246,0.023,,,,,,,,,,0.039,,0.212,0.279,,,0.007,0.005,0.134,0.031,,,,0.001,0.052,0.049,,0.003,0.004,0.001,,,,,0.005,,,,0.005,0.005,,0.003,0.004,,,0.015,,,,,0.288,0.246,0.136,,,,0.009,0.021,,,0.089,,0.006,0.005,,,0.006,,,,,0.027,0.009,0.202,0.147,0.001,0.009,0.165,0.019,0.177,0.001,0.048,0.019,,,0.001,,0.006,0.005,0.035,0.034,,0.049,,,,,,,,0.005,0.176,,0.006,,,,,0.175,0.005,,0.008,0.008,0.006,0.012,0.272,0.024,0.038,0.005,0.045,0.009,0.014,,,,,,,,,,0.006,0.069,0.001,0.001,0.167,0.001,,,,0.001,0.001,0.005,,,0.026,0.028,,0.011,0.327,0.205,0.003,0.002,0.001,0.001,0.024,0.002,0.004,0.001,0.002,,,,0.001,0.011,,,,0.003,,,,,,,0.007,,,,0.077,0.071,,,,0.001
28,2419680,,0.002,,,,,0.004,,,,0.999,0.083,0.887,,0.128,0.015,,,,,,,,,,0.035,,0.244,0.331,,,0.005,0.005,0.148,0.016,,,,0.001,0.101,0.065,,0.004,0.004,0.001,,,,,0.005,,,,0.006,0.005,,0.003,0.005,,,0.018,,,,,0.313,0.281,0.147,,,,0.006,0.021,,,0.098,,0.005,0.004,,,0.006,,,,,0.027,0.02,0.166,0.141,0.001,0.007,0.151,0.019,0.204,0.002,0.052,0.043,,,0.003,,0.007,0.004,0.014,0.001,,0.036,,,,,,,,0.005,0.335,,0.007,,,,,0.001,0.005,,0.006,0.014,0.006,0.008,0.305,0.028,0.043,0.009,0.041,0.015,0.021,,,,,,,,,,0.006,0.075,0.001,0.001,0.222,0.001,,,,0.001,0.001,0.005,,,0.029,0.03,,0.02,0.277,0.232,0.002,0.002,0.002,0.001,0.024,0.002,0.003,0.001,0.006,,,,0.001,0.012,,,,0.002,,,,,,,0.006,,,,0.073,0.033,,,,0.001
28,2419740,,0.003,,,,,0.002,,,,0.811,0.093,0.954,,0.236,0.035,,,,,,,,,,0.073,,0.227,0.358,,,0.006,0.004,0.129,0.015,,,,0.002,0.078,0.052,,0.003,0.004,0.001,,,,,0.005,,,,0.005,0.004,,0.003,0.003,,,0.02,,,,,0.292,0.207,0.131,,,,0.006,0.02,,,0.091,,0.004,0.004,,,0.007,,,,,0.03,0.007,0.213,0.163,0.001,0.004,0.158,0.018,0.153,0.002,0.033,0.017,,,0.003,,0.005,0.006,0.071,0.044,,0.068,,,,,,,,0.004,0.209,,0.005,,,,,0.001,0.005,,0.009,0.013,0.004,0.006,0.261,0.018,0.034,0.005,0.026,0.008,0.013,,,,,,,,,,0.005,0.054,0.001,0.001,0.204,0.001,,,,0.001,0.001,0.005,,,0.027,0.028,,0.011,0.314,0.205,0.003,0.002,0.002,0.001,0.023,0.002,0.004,0.001,0.002,,,,0.001,0.013,,,,0.003,,,,,,,0.01,,,,0.066,0.013,,,,0.001
