time,value,metric
2024-02-02 16:27:55,8.0,{'instance': '10.0.76.98:8080'}
2024-02-02 16:28:55,6.0,{'instance': '10.0.76.98:8080'}
2024-02-02 16:29:55,4.0,{'instance': '10.0.76.98:8080'}
2024-02-02 16:30:55,2.067,{'instance': '10.0.76.98:8080'}
2024-02-02 16:31:55,0.0,{'instance': '10.0.76.98:8080'}
2024-02-02 16:32:55,2.0,{'instance': '10.0.76.98:8080'}
2024-02-02 16:33:55,4.067,{'instance': '10.0.76.98:8080'}
2024-02-02 16:34:55,6.0,{'instance': '10.0.76.98:8080'}
2024-02-02 16:35:55,8.0,{'instance': '10.0.76.98:8080'}
2024-02-02 16:36:55,10.0,{'instance': '10.0.76.98:8080'}
2024-02-02 16:37:55,11.933,{'instance': '10.0.76.98:8080'}
2024-02-02 16:38:55,14.0,{'instance': '10.0.76.98:8080'}
2024-02-02 16:39:55,15.933,{'instance': '10.0.76.98:8080'}
2024-02-02 16:40:55,18.0,{'instance': '10.0.76.98:8080'}
2024-02-02 16:41:55,20.2,{'instance': '10.0.76.98:8080'}
2024-02-02 16:42:55,21.933,{'instance': '10.0.76.98:8080'}
2024-02-02 16:43:55,24.067,{'instance': '10.0.76.98:8080'}
2024-02-02 16:44:55,25.933,{'instance': '10.0.76.98:8080'}
2024-02-02 16:45:55,28.067,{'instance': '10.0.76.98:8080'}
2024-02-02 16:46:55,29.8,{'instance': '10.0.76.98:8080'}
2024-02-02 16:47:55,31.667,{'instance': '10.0.76.98:8080'}
2024-02-02 16:48:55,33.8,{'instance': '10.0.76.98:8080'}
2024-02-02 16:49:55,36.267,{'instance': '10.0.76.98:8080'}
2024-02-02 16:50:55,37.6,{'instance': '10.0.76.98:8080'}
2024-02-02 16:51:55,40.667,{'instance': '10.0.76.98:8080'}
2024-02-02 16:52:55,42.4,{'instance': '10.0.76.98:8080'}
2024-02-02 16:53:55,44.4,{'instance': '10.0.76.98:8080'}
2024-02-02 16:54:55,46.333,{'instance': '10.0.76.98:8080'}
2024-02-02 16:55:55,48.533,{'instance': '10.0.76.98:8080'}
2024-02-02 16:56:55,51.133,{'instance': '10.0.76.98:8080'}
2024-02-02 16:57:55,51.067,{'instance': '10.0.76.98:8080'}
2024-02-02 16:58:55,53.867,{'instance': '10.0.76.98:8080'}
2024-02-02 16:59:55,56.867,{'instance': '10.0.76.98:8080'}
2024-02-02 17:00:55,56.867,{'instance': '10.0.76.98:8080'}
2024-02-02 17:01:55,61.2,{'instance': '10.0.76.98:8080'}
2024-02-02 17:02:55,57.8,{'instance': '10.0.76.98:8080'}
2024-02-02 17:03:55,57.933,{'instance': '10.0.76.98:8080'}
2024-02-02 17:04:55,54.667,{'instance': '10.0.76.98:8080'}
2024-02-02 17:05:55,51.933,{'instance': '10.0.76.98:8080'}
2024-02-02 17:06:55,51.667,{'instance': '10.0.76.98:8080'}
2024-02-02 17:07:55,48.667,{'instance': '10.0.76.98:8080'}
2024-02-02 17:08:55,46.333,{'instance': '10.0.76.98:8080'}
2024-02-02 17:09:55,44.267,{'instance': '10.0.76.98:8080'}
2024-02-02 17:10:55,42.4,{'instance': '10.0.76.98:8080'}
2024-02-02 17:11:55,40.667,{'instance': '10.0.76.98:8080'}
2024-02-02 17:12:55,37.667,{'instance': '10.0.76.98:8080'}
2024-02-02 17:13:55,36.267,{'instance': '10.0.76.98:8080'}
2024-02-02 17:14:55,33.8,{'instance': '10.0.76.98:8080'}
2024-02-02 17:15:55,31.667,{'instance': '10.0.76.98:8080'}
2024-02-02 17:16:55,29.8,{'instance': '10.0.76.98:8080'}
2024-02-02 17:17:55,28.133,{'instance': '10.0.76.98:8080'}
