time,value,metric
2024-02-04 08:33:31,1.0,{'namespace': 'ds-test'}
2024-02-04 08:34:31,1.0,{'namespace': 'ds-test'}
2024-02-04 08:35:31,1.0,{'namespace': 'ds-test'}
2024-02-04 08:36:31,1.0,{'namespace': 'ds-test'}
2024-02-04 08:37:31,1.0,{'namespace': 'ds-test'}
2024-02-04 08:38:31,1.0,{'namespace': 'ds-test'}
2024-02-04 08:39:31,1.0,{'namespace': 'ds-test'}
2024-02-04 08:40:31,1.0,{'namespace': 'ds-test'}
2024-02-04 08:41:31,1.0,{'namespace': 'ds-test'}
2024-02-04 08:42:31,1.0,{'namespace': 'ds-test'}
2024-02-04 08:43:31,1.0,{'namespace': 'ds-test'}
2024-02-04 08:44:31,1.0,{'namespace': 'ds-test'}
2024-02-04 08:45:31,1.0,{'namespace': 'ds-test'}
2024-02-04 08:46:31,1.0,{'namespace': 'ds-test'}
2024-02-04 08:47:31,1.0,{'namespace': 'ds-test'}
2024-02-04 08:48:31,1.0,{'namespace': 'ds-test'}
2024-02-04 08:49:31,1.0,{'namespace': 'ds-test'}
2024-02-04 08:50:31,1.0,{'namespace': 'ds-test'}
2024-02-04 08:51:31,2.0,{'namespace': 'ds-test'}
2024-02-04 08:52:31,2.0,{'namespace': 'ds-test'}
2024-02-04 08:53:31,2.0,{'namespace': 'ds-test'}
2024-02-04 08:54:31,2.0,{'namespace': 'ds-test'}
2024-02-04 08:55:31,2.0,{'namespace': 'ds-test'}
2024-02-04 08:56:31,3.0,{'namespace': 'ds-test'}
