timestamp,CPU_USAGE,QUEUE_ID,CU,QUEUE_TYPE,MEM_USAGE,LJOB,RJOB
1590683100000,3.0,2,16,2,28.5,0,0
1590683400000,2.59,2,16,2,39.0,0,0
1590683700000,4.26,2,16,2,44.69,0,0
1590684000000,4.17,2,16,2,48.11,0,0
1590684120000,4.47,2,16,2,50.24,0,0
1590684420000,3.94,2,16,2,51.95,0,0
1590684720000,3.24,2,16,2,52.69,0,0
1590685020000,2.8,2,16,2,53.16,0,0
1590685320000,3.59,2,16,2,53.46,0,0
1590685620000,4.45,2,16,2,53.65,0,0
1590685980000,3.57,2,16,2,54.14,0,0
1590686280000,3.37,2,16,2,54.45,0,0
1590686580000,5.74,2,16,2,54.29,1,0
1590686880000,5.84,2,16,2,54.18,1,0
1590687180000,8.4,2,16,2,54.12,1,0
1590687480000,6.83,2,16,2,54.08,1,0
1590688380000,11.9,2,16,2,40.43,0,0
1590688740000,9.43,2,16,2,32.04,0,0
1590689040000,8.56,2,16,2,26.65,0,0
1590689340000,7.64,2,16,2,23.19,0,0
1590689640000,5.98,2,16,2,20.97,0,0
1590689940000,4.91,2,16,2,19.91,0,0
1590690240000,5.66,2,16,2,19.23,0,0
1590690540000,4.71,2,16,2,18.79,0,0
1590690840000,5.17,2,16,2,18.5,0,0
1590691200000,4.75,2,16,2,18.32,0,0
1590691500000,6.99,2,16,2,18.21,0,0
1590691800000,6.64,2,16,2,18.13,0,0
1590692100000,6.05,2,16,2,18.09,0,0
1590692400000,6.39,2,16,2,18.41,0,0
1590692700000,5.89,2,16,2,18.27,0,0
1590693000000,4.5,2,16,2,18.53,0,0
1590693300000,3.24,2,16,2,18.7,0,0
1590693600000,3.52,2,16,2,18.81,0,0
1590693960000,4.41,2,16,2,18.88,0,0
1590694260000,4.62,2,16,2,18.92,0,0
1590694560000,5.11,2,16,2,18.95,0,0
1590694860000,4.0,2,16,2,18.97,0,0
1590695160000,3.28,2,16,2,18.98,0,0
1590695460000,3.9,2,16,2,19.34,0,0
1590695760000,4.65,2,16,2,19.22,0,0
1590696060000,4.42,2,16,2,19.5,0,0
1590696360000,3.55,2,16,2,19.68,0,0
1590696720000,3.35,2,16,2,19.79,0,0
1590697020000,3.94,2,16,2,19.87,0,0
1590697320000,3.61,2,16,2,19.92,0,0
1590697620000,3.03,2,16,2,19.95,0,0
1590697920000,2.66,2,16,2,19.97,0,0
1590698220000,2.78,2,16,2,19.98,0,0
1590698520000,2.86,2,16,2,19.99,0,0
1590698820000,2.91,2,16,2,19.99,0,0
1590699120000,2.58,2,16,2,19.99,0,0
1590699480000,2.73,2,16,2,20.0,0,0
1590699780000,2.83,2,16,2,20.0,0,0
1590700080000,2.53,2,16,2,20.0,0,0
1590700380000,3.06,2,16,2,20.0,0,0
1590700680000,3.04,2,16,2,20.0,0,0
1590700980000,3.38,2,16,2,20.0,0,0
1590701280000,3.6,2,16,2,20.0,0,0
1590701580000,3.03,2,16,2,20.36,0,0
1590701880000,3.02,2,16,2,20.23,0,0
1590702240000,3.37,2,16,2,20.15,0,0
1590702540000,3.6,2,16,2,20.09,0,0
1590702840000,3.02,2,16,2,20.06,0,0
1590703140000,2.66,2,16,2,20.04,0,0
1590703440000,2.78,2,16,2,20.38,0,0
1590703740000,2.86,2,16,2,20.6,0,0
1590704040000,2.91,2,16,2,20.75,0,0
1590704340000,2.58,2,16,2,20.84,0,0
1590704640000,2.37,2,16,2,20.9,0,0
1590704940000,3.32,2,16,2,20.93,0,0
1590705300000,3.2,2,16,2,20.6,0,0
1590705600000,3.49,2,16,2,20.38,0,0
1590705900000,2.95,2,16,2,20.25,0,0
1590706200000,2.97,2,16,2,20.16,0,0
1590706500000,3.34,2,16,2,20.1,0,0
1590706800000,6.8,2,16,2,20.07,0,0
1590707100000,5.08,2,16,2,20.04,0,0
1590707400000,3.98,2,16,2,20.03,0,0
1590707700000,3.27,2,16,2,20.02,0,0
1590708060000,3.53,2,16,2,20.37,0,0
1590708360000,5.49,2,16,2,20.6,0,0
1590708660000,5.67,2,16,2,20.74,0,0
1590708960000,4.36,2,16,2,20.48,0,0
1590709260000,4.59,2,16,2,20.66,0,0
1590709560000,5.45,2,16,2,20.78,0,0
1590709860000,4.22,2,16,2,20.86,0,0
1590710160000,3.42,2,16,2,20.91,0,0
1590710520000,3.63,2,16,2,20.94,0,0
1590710820000,3.05,2,16,2,20.96,0,0
1590711120000,2.67,2,16,2,20.98,0,0
