ID,QUEUE_ID,CU,STATUS,QUEUE_TYPE,PLATFORM,CPU_USAGE,MEM_USAGE,LAUNCHING_JOB_NUMS,RUNNING_JOB_NUMS,SUCCEED_JOB_NUMS,CANCELLED_JOB_NUMS,FAILED_JOB_NUMS,DOTTING_TIME,RESOURCE_TYPE,DISK_USAGE
1,297,16,available,sql,x86_64,60,69,0,5,5,0,0,1662213420000,vm,9
1,297,16,available,sql,x86_64,58,69,0,9,4,0,0,1662213720000,vm,9
1,297,16,available,sql,x86_64,80,67,0,9,1,0,0,1662214020000,vm,9
1,297,16,available,sql,x86_64,100,65,0,7,2,0,1,1662214320000,vm,9
1,297,16,available,sql,x86_64,98,67,0,10,3,0,1,1662214620000,vm,9
2,85153,64,available,general,x86_64,56,91,0,0,0,0,0,1613655960000,vm,20
2,85153,64,available,general,x86_64,48,78,0,1,1,0,0,1613656260000,vm,20
2,85153,64,available,general,x86_64,23,35,0,0,0,0,0,1613656560000,vm,20
2,85153,64,available,general,x86_64,68,61,0,0,0,0,0,1613656860000,vm,20
2,85153,64,available,general,x86_64,38,74,0,0,0,0,0,1613657160000,vm,20
3,297,16,available,sql,x86_64,2,41,0,6,1,0,2,1655383740000,vm,9
3,297,16,available,sql,x86_64,5,42,0,6,2,0,1,1655384040000,vm,9
3,297,16,available,sql,x86_64,3,43,0,6,3,0,0,1655384340000,vm,9
3,297,16,available,sql,x86_64,80,68,0,8,2,0,0,1655384640000,vm,9
3,297,16,available,sql,x86_64,90,82,0,8,2,0,0,1655384940000,vm,9
4,297,16,available,sql,x86_64,3,34,0,1,6,0,2,1633409880000,vm,9
4,297,16,available,sql,x86_64,37,46,0,9,1,0,0,1633410180000,vm,9
4,297,16,available,sql,x86_64,90,71,0,9,1,0,0,1633410480000,vm,9
4,297,16,available,sql,x86_64,64,72,0,6,2,0,1,1633410780000,vm,9
4,297,16,available,sql,x86_64,68,68,0,9,2,0,0,1633411080000,vm,9
5,291,1024,available,sql,x86_64,3,9,0,0,12,0,0,1599323700000,vm,26
5,291,1024,available,sql,x86_64,0,10,0,0,0,0,0,1599324000000,vm,26
5,291,1024,available,sql,x86_64,1,10,0,0,3,0,0,1599324300000,vm,26
5,291,1024,available,sql,x86_64,0,10,0,0,0,0,0,1599324600000,vm,26
5,291,1024,available,sql,x86_64,1,10,0,0,0,0,0,1599324900000,vm,26
6,21487,64,available,sql,x86_64,11,46,0,2,7,0,0,1599283620000,vm,20
6,21487,64,available,sql,x86_64,5,47,0,1,2,0,0,1599283920000,vm,20
6,21487,64,available,sql,x86_64,4,47,0,1,7,0,0,1599284220000,vm,20
6,21487,64,available,sql,x86_64,8,46,0,1,1,0,0,1599284520000,vm,20
6,21487,64,available,sql,x86_64,8,46,0,1,3,0,0,1599284820000,vm,20
7,297,16,available,sql,x86_64,32,51,0,5,4,0,1,1687691040000,vm,9
7,297,16,available,sql,x86_64,84,78,0,7,0,0,1,1687691340000,vm,9
7,297,16,available,sql,x86_64,52,80,0,6,1,0,2,1687691640000,vm,9
7,297,16,available,sql,x86_64,31,80,0,7,2,0,1,1687691940000,vm,9
7,297,16,available,sql,x86_64,32,77,0,8,1,0,0,1687692240000,vm,9
8,85265,64,available,sql,x86_64,0,26,200,5,3,0,1,1600969320000,vm,29
8,85265,64,available,sql,x86_64,2,26,200,49,3,0,1,1600969620000,vm,29
